category,rank,asin,bestseller_title,bestseller_url,captured_at,audit_reason,marketplace_listing_id,marketplace_category,marketplace_cpk,marketplace_cpk_identity_category,marketplace_title
cooler,60,B00NEMG62M,"Noctua NF-A8 PWM, High-Performance Quiet Fan 80mm | High Airflow, Low Noise, 25mm Thick Fan, for PC and Electronics Cooling,",https://www.amazon.co.uk/Noctua-NF-A8-PWM-Premium-Quiet/dp/B00NEMG62M/ref=zg_bs_g_430499031_d_sccl_10/524-3698123-6031407,2026-09-25 11:38:26.332925,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,60,B00NEMG62M,"Noctua NF-A8 PWM, High-Performance Quiet Fan 80mm | High Airflow, Low Noise, 25mm Thick Fan, for PC and Electronics Cooling,",https://www.amazon.co.uk/Noctua-NF-A8-PWM-Premium-Quiet/dp/B00NEMG62M/ref=zg_bs_g_430499031_d_sccl_10/525-2893768-2677554,2026-09-25 12:57:51.160783,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,61,B0F48FLCRX,Thermal Grizzly Kryonaut - 1 Gram - Extremely High Performance Thermal Paste + 12 Cleaning Wipes 6 Wet & 6 Dry - for Demandin,https://www.amazon.co.uk/Thermal-Grizzly-Kryonaut-Applications-Overclocking/dp/B0F48FLCRX/ref=zg_bs_g_430499031_d_sccl_11/524-3698123-6031407,2026-09-25 11:38:26.332926,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,61,B0F48FLCRX,Thermal Grizzly Kryonaut - 1 Gram - Extremely High Performance Thermal Paste + 12 Cleaning Wipes 6 Wet & 6 Dry - for Demandin,https://www.amazon.co.uk/Thermal-Grizzly-Kryonaut-Applications-Overclocking/dp/B0F48FLCRX/ref=zg_bs_g_430499031_d_sccl_11/525-2893768-2677554,2026-09-25 12:57:51.160785,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,62,B07WWKF96F,"ARCTIC P8 PWM PST - PC Fan, 80mm Fan, PC Case Fan, PWM Sharing Technology (PST), Pressure-Optimised, Quite motor, Computer, F",https://www.amazon.co.uk/ARCTIC-P8-PWM-PST-Pressure-optimised/dp/B07WWKF96F/ref=zg_bs_g_430499031_d_sccl_12/524-3698123-6031407,2026-09-25 11:38:26.332927,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,62,B07WWKF96F,"ARCTIC P8 PWM PST - PC Fan, 80mm Fan, PC Case Fan, PWM Sharing Technology (PST), Pressure-Optimised, Quite motor, Computer, F",https://www.amazon.co.uk/ARCTIC-P8-PWM-PST-Pressure-optimised/dp/B07WWKF96F/ref=zg_bs_g_430499031_d_sccl_12/525-2893768-2677554,2026-09-25 12:57:51.160786,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,63,B07MFMFL7R,AMD Wraith Stealth Socket AM4 4-Pin Connector CPU Cooler with Aluminum Heatsink & 3.93-Inch Fan (Slim),https://www.amazon.co.uk/Stealth-Connector-Aluminum-Heatsink-3-93-Inch/dp/B07MFMFL7R/ref=zg_bs_g_430499031_d_sccl_13/524-3698123-6031407,2026-09-25 11:38:26.332928,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,63,B07MFMFL7R,AMD Wraith Stealth Socket AM4 4-Pin Connector CPU Cooler with Aluminum Heatsink & 3.93-Inch Fan (Slim),https://www.amazon.co.uk/Stealth-Connector-Aluminum-Heatsink-3-93-Inch/dp/B07MFMFL7R/ref=zg_bs_g_430499031_d_sccl_13/525-2893768-2677554,2026-09-25 12:57:51.160787,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,64,B0C4JKVSZ7,"Thermalright Phantom Spirit 120 CPU Cooler,7×6mm Heat pipes CPU Air Cooler,Dual PWM Fans Computer Cooling,1500RPM Speed,for A",https://www.amazon.co.uk/Thermalright-Phantom-Computer-Cooling-1500RPM/dp/B0C4JKVSZ7/ref=zg_bs_g_430499031_d_sccl_14/524-3698123-6031407,2026-09-25 11:38:26.332929,No exact ASIN listing found in current Amazon marketplace scores,,,,,
cooler,64,B0C4JKVSZ7,"Thermalright Phantom Spirit 120 CPU Cooler,7×6mm Heat pipes CPU Air Cooler,Dual PWM Fans Computer Cooling,1500RPM Speed,for A",https://www.amazon.co.uk/Thermalright-Phantom-Computer-Cooling-1500RPM/dp/B0C4JKVSZ7/ref=zg_bs_g_430499031_d_sccl_14/525-2893768-2677554,2026-09-25 12:57:51.160788,No exact ASIN listing found in current Amazon marketplace scores,,,,,
