category,rank,asin,title,cpk,price,rrp,rating,review_count,sales_velocity,url,captured_at
case,30,B0BHJGSMC1,Veno Scorp Gaming PC Bundle i3 GTX 750 4GB 8GB RAM 500GB HDD NOVA | Built for smooth everyday gaming — GTX 750 4GB delivers r,,265.0,,4.0,126,,https://www.amazon.co.uk/Veno-Scorp-Budget-Gaming-Bundle/dp/B0BHJGSMC1/ref=zg_bs_g_430498031_d_sccl_30/522-1500010-1872250,2026-09-25T16:02:01.344440
case,31,B07BBFRLNJ,"GeeekPi ABS Case for Raspberry Pi 3B/3B+, with 30mm Fan 30X30X7mm and 3pcs Heatsinks for Raspberry Pi 3 Model B/B+ (Black)",,10.69,,4.6,2011,,https://www.amazon.co.uk/GeeekPi-Raspberry-Cooling-Heatsinks-Include/dp/B07BBFRLNJ/ref=zg_bs_g_430498031_d_sccl_31/522-1500010-1872250,2026-09-25T16:02:01.344441
case,32,B074V35B6Y,"BONTEC Adjustable Under Desk PC Mount, Steel CPU Holder with 20 kg Capacity | Space-saving suspended design, secure straps fi",,14.43,,4.4,2062,,https://www.amazon.co.uk/BONTEC-Adjustable-Space-Saving-Computer-Installation-Black/dp/B074V35B6Y/ref=zg_bs_g_430498031_d_sccl_32/522-1500010-1872250,2026-09-25T16:02:01.344441
case,33,B0FJ8SWG15,"CORSAIR AIR 5400 RS-R ARGB Triple-Chamber Mid-Tower Panoramic PC Case – 3x Pre-Installed Reverse-Rotor RS120-R ARGB Fans, Low",,119.0,,4.7,258,,https://www.amazon.co.uk/CORSAIR-5400-Triple-Chamber-Mid-Tower-Panoramic/dp/B0FJ8SWG15/ref=zg_bs_g_430498031_d_sccl_33/522-1500010-1872250,2026-09-25T16:02:01.344442
case,34,B0C98SZCSG,"Montech AIR 903 MAX Midi-Tower, Tempered Glass - Weiß",,,,4.6,,,https://www.amazon.co.uk/Montech-AIR-903-MAX-Midi-Tower/dp/B0C98SZCSG/ref=zg_bs_g_430498031_d_sccl_34/522-1500010-1872250,2026-09-25T16:02:01.344443
case,35,B0D73VS65B,"be quiet! Light Base 600 DX Black PC Case, Fully Windowed Front and Side | Dual Chamber, Aquarium Mid Tower Gaming Computer C",581c536f7063869a,124.6,,4.7,217,,https://www.amazon.co.uk/quiet-Stunning-Panoramic-Horizontal-Connector-Black/dp/B0D73VS65B/ref=zg_bs_g_430498031_d_sccl_35/522-1500010-1872250,2026-09-25T16:02:01.344443
case,36,B0FJ2V6VVP,"CORSAIR 3500X LX-R RGB iCUE LINK Panoramic Mid-Tower PC Case – 3x Pre-Installed LX120-R RGB Fans, Includes iCUE LINK System H",e773667e5abbbbae,79.0,,4.8,136,,https://www.amazon.co.uk/CORSAIR-3500X-LX-R-iCUE-Mid-Tower/dp/B0FJ2V6VVP/ref=zg_bs_g_430498031_d_sccl_36/522-1500010-1872250,2026-09-25T16:02:01.344444
case,37,B0CT5V2XJK,"Phanteks XT Pro Ultra ATX Mid Tower Case, Tempered Glass, Black, DRGB Fans, Zero Clutter Cable Management",8625ac5e62039172,76.99,,4.7,935,,https://www.amazon.co.uk/Phanteks-Ultra-Tempered-Glass-Windows/dp/B0CT5V2XJK/ref=zg_bs_g_430498031_d_sccl_37/522-1500010-1872250,2026-09-25T16:02:01.344445
case,38,B0FJ2SRYHT,"CORSAIR FRAME 4500X LX-R RGB LINK Panoramic Glass Mid-Tower PC Case – InfiniRail Mounting System, Fits Dual 360mm Radiators,",55d44b2d9e359f26,89.0,,4.7,147,,https://www.amazon.co.uk/CORSAIR-FRAME-4500X-Panoramic-Mid-Tower/dp/B0FJ2SRYHT/ref=zg_bs_g_430498031_d_sccl_38/522-1500010-1872250,2026-09-25T16:02:01.344446
case,39,B0DG61TSZK,"FOIFKIN F300 PC Case ATX with 4 Non-RGB Fans, High Airflow Mid-Tower Computer Case, Gaming PC Case Big Tower, ATX Case Black,",dd33f93f032a3753,54.99,,4.6,142,,https://www.amazon.co.uk/FOIFKIN-Case-Preinstalled-Mid-Tower-Panoramic-Black/dp/B0DG61TSZK/ref=zg_bs_g_430498031_d_sccl_39/522-1500010-1872250,2026-09-25T16:02:01.344446
