category,list_name,asin,title,url,image_url,rank,cpk,rating,review_count,price,rrp,sales_velocity,captured_at
ram,Computer Memory,B0CHSGDFN4,CORSAIR DOMINATOR TITANIUM RGB DDR5 64GB (2x32GB) DDR5 Up to 6000MHz CL30 AMD EXPO Intel XMP iCUE Compatible Computer Memory,https://www.amazon.co.uk/CORSAIR-DOMINATOR-TITANIUM-Compatible-Computer/dp/B0CHSGDFN4/ref=zg_bs_g_430511031_d_sccl_30/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/61ObybWVj-L._AC_UL600_SR600,400_.jpg",80,,4.7,369,1192.99,,,2026-09-25 11:30:43.726363
ram,Computer Memory,B0CRSZCQNH,Acer Predator PALLAS II DDR5 Up to 6000MHz 64GB (32GBx2) RGB RAM CL30 Intel XMP 3.0 & AMD EXPO Compatible Computer Memory PC5,https://www.amazon.co.uk/Acer-Predator-Compatible-Computer-PC5-48000-Black/dp/B0CRSZCQNH/ref=zg_bs_g_430511031_d_sccl_81/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/6157pHc6pHL._AC_UL300_SR300,200_.jpg",81,7c4dbf7ab30c8948,4.4,94,889.99,,,2026-09-25 11:30:43.726364
ram,Computer Memory,B08PJNVWNZ,Team T-force Vulcan Z 16Gb Silver Heatsink 2 X 8Gb Ddr4 3200Mhz Dimm System Memo,https://www.amazon.co.uk/T-force-Vulcan-Silver-Heatsink-3200Mhz/dp/B08PJNVWNZ/ref=zg_bs_g_430511031_d_sccl_82/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/71QYVWwXVlL._AC_UL300_SR300,200_.jpg",82,959e8c393ee6531f,4.8,1626,123.73,,,2026-09-25 11:30:43.726365
ram,Computer Memory,B0F7RY9V4N,CORSAIR VENGEANCE DDR5 RAM 96GB (2x48GB) Up to 6000MHz CL36-44-44-96 1.4V AMD EXPO Intel XMP 3.0 Desktop Computer Memory – Gr,https://www.amazon.co.uk/CORSAIR-VENGEANCE-6000MHz-CL36-44-44-96-Computer/dp/B0F7RY9V4N/ref=zg_bs_g_430511031_d_sccl_83/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/61-Ag2lc5BL._AC_UL300_SR300,200_.jpg",83,,4.6,126,1177.99,,,2026-09-25 11:30:43.726367
ram,Computer Memory,B015FXXBW0,Corsair 16 GB DDR4-3200 CL16 G.Skill RipJaws V Noir Series Memory Kit,https://www.amazon.co.uk/G-Skill-DDR4-3200-CL16-RipJaws-Memory/dp/B015FXXBW0/ref=zg_bs_g_430511031_d_sccl_84/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/618SEnJR1nL._AC_UL300_SR300,200_.jpg",84,4ac69e0fc398b00e,4.7,5649,126.95,,,2026-09-25 11:30:43.726368
ram,Computer Memory,B0DWK3XRTJ,"Biwin DDR5 RAM 16GB Up to 5600MHz, SODIMM 262-pin CL46, Laptop Computer Memory, Mini PC, 1.1V / Independent PMIC/On-die ECC,",https://www.amazon.co.uk/5600MHz-262-pin-Computer-Independent-Performance/dp/B0DWK3XRTJ/ref=zg_bs_g_430511031_d_sccl_85/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/61xdw5rjyqL._AC_UL300_SR300,200_.jpg",85,,4.4,17,185.99,,,2026-09-25 11:30:43.726369
ram,Computer Memory,B076Q59DNN,Kingston 4GB 2400MHz DDR4 Non-ECC SO-DIMM Laptop Memory,https://www.amazon.co.uk/Kingston-KVR24S17S6-2400MHz-Non-ECC-SODIMM/dp/B076Q59DNN/ref=zg_bs_g_430511031_d_sccl_86/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/61AryIL98AL._AC_UL300_SR300,200_.jpg",86,,4.6,488,29.99,,,2026-09-25 11:30:43.726370
ram,Computer Memory,B09GVT1GTQ,"SJZBIN 10Pcs DDR Memory RAM Module Case Plastic Box Packaging Container Clamshell Antistatic Tray for DDR2, DDR3 and DDR4 Lon",https://www.amazon.co.uk/SJZBIN-Packaging-Container-Clamshell-Antistatic/dp/B09GVT1GTQ/ref=zg_bs_g_430511031_d_sccl_87/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/61F45l1jvtL._AC_UL300_SR300,200_.jpg",87,,3.7,78,6.19,,,2026-09-25 11:30:43.726371
ram,Computer Memory,B08DP4ZTBG,8GB DDR4 2666MHz SODIMM,https://www.amazon.co.uk/EETU-OM8G42666SO2RX8NE12-DDR4-2666MHz-SODIMM/dp/B08DP4ZTBG/ref=zg_bs_g_430511031_d_sccl_88/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/51YLh-M3-2L._AC_UL300_SR300,200_.jpg",88,eba3471763702271,3.9,7,39.99,,,2026-09-25 11:30:43.726372
ram,Computer Memory,B019FRBHZ0,Crucial RAM CT16G4SFD824A 16GB DDR4 2400MHz CL17 Laptop Memory,https://www.amazon.co.uk/Crucial-CT16G4SFD824A-PC4-19200-SODIMM-260-Pin/dp/B019FRBHZ0/ref=zg_bs_g_430511031_d_sccl_89/522-4755054-8671242,"https://images-eu.ssl-images-amazon.com/images/I/61HilkEGReL._AC_UL300_SR300,200_.jpg",89,6084d244a62dcbc5,4.8,7952,109.99,,,2026-09-25 11:30:43.726374
